Features,Weights
nfkb2,-0.002122015915119313
pdpk1,-0.002122015915119313
tubb1,-0.002122015915119313
asxl2,-0.002122015915119313
clk3,-0.002122015915119313
col6a3,-0.002122015915119313
dtwd2,-0.002122015915119313
fanca,-0.002122015915119313
hdac9,-0.002122015915119313
lamb3,-0.002122015915119313
muc16,-0.002122015915119313
sgcd,-0.002122015915119313
tg,-0.002122015915119313
bche,-0.002122015915119313
cdk8,-0.002122015915119313
hsd17b10,-0.002122015915119313
hsd17b12,-0.002122015915119313
hsd3b7,-0.002122015915119313
ugt2b17,-0.002122015915119313
e2f5,-0.002122015915119335
stat1,-0.002122015915119335
aurka,-0.002122015915119335
rassf1,-0.002122015915119335
bcas3,-0.002122015915119335
fam20c,-0.002122015915119335
gldc,-0.002122015915119335
ryr2,-0.002122015915119335
sik1,-0.002122015915119335
taf1,-0.002122015915119335
tumor_size,-0.0021220159151193576
stk11,-0.0026525198938991412
cdkn1b,-0.0026525198938991412
aph1a,-0.0026525198938991412
hdac1,-0.0026525198938991412
kdm5a,-0.0026525198938991412
bmp10,-0.0026525198938991412
braf,-0.0026525198938991412
casp10,-0.0026525198938991412
folr1,-0.0026525198938991412
mmp28,-0.0026525198938991412
mtor,-0.0026525198938991412
pdgfrb,-0.0026525198938991412
bbc3,-0.0026525198938991412
fgf2,-0.0026525198938991412
men1,-0.0026525198938991412
srd5a2,-0.0026525198938991412
erbb3_mut,-0.0026525198938991412
ep300,-0.0026525198938991633
nrarp,-0.0026525198938991633
casp6,-0.0026525198938991633
chek1,-0.0026525198938991633
igf1,-0.0026525198938991633
map2k5,-0.0026525198938991633
mmp21,-0.0026525198938991633
mmp7,-0.0026525198938991633
slc19a1,-0.0026525198938991633
smad6,-0.0026525198938991633
sptbn1,-0.0026525198938991633
terc,-0.0026525198938991633
tgfbr3,-0.0026525198938991633
fn1,-0.0026525198938991633
twist1,-0.0026525198938991633
agmo,-0.0026525198938991633
ctnna1,-0.0026525198938991633
klrg1,-0.0026525198938991633
ncoa3,-0.0026525198938991633
siah1,-0.0026525198938991633
smarcc1,-0.0026525198938991633
akt3,-0.0026525198938991633
cyp17a1,-0.0026525198938991633
hras,-0.0026525198938991855
tsc2,-0.0026525198938991855
ahnak2,-0.0026525198938991855
cdc25a,-0.0031830238726789917
mmp15,-0.0031830238726789917
rptor,-0.0031830238726789917
nras,-0.0031830238726789917
prkcz,-0.0031830238726789917
sbno1,-0.0031830238726789917
sf3b1,-0.0031830238726789917
cyp21a2,-0.0031830238726789917
hsd17b2,-0.0031830238726789917
serpini1,-0.0031830238726789917
cdk2,-0.003183023872679014
stat5b,-0.003183023872679014
mapk14,-0.003183023872679014
mmp24,-0.003183023872679014
prkacg,-0.003183023872679014
map3k5,-0.003183023872679036
pdgfra,-0.003183023872679036
cdkn2c,-0.0031830238726790585
dll4,-0.003713527851458842
bmp5,-0.003713527851458842
cxcr1,-0.003713527851458842
mapk7,-0.003713527851458842
smad3,-0.003713527851458842
cbfb,-0.003713527851458842
col12a1,-0.003713527851458842
gh1,-0.003713527851458842
ldlrap1,-0.003713527851458842
ppp2r2a,-0.003713527851458842
ptpn22,-0.003713527851458842
rasgef1b,-0.003713527851458842
syne1,-0.003713527851458842
bmp7,-0.0037135278514588642
ptk2,-0.0037135278514588642
rps6ka1,-0.0037135278514588642
smad4,-0.0037135278514588642
thada,-0.0037135278514588642
ccnd1,-0.004244031830238693
cdk6,-0.004244031830238693
cdkn1a,-0.004244031830238693
jag2,-0.004244031830238693
